"RECIPE","LAST RUN","RUN RESULT","NOTES"
"Flashlight.download.recipe","2015-10-05 10:53:03","OK",""
"Flashlight.install.recipe","2015-10-05 10:53:09","OK",""
"Flashlight.munki.recipe","2015-10-05 10:53:22","OK",""
"Flashlight.pkg.recipe","2015-10-05 10:53:25","OK",""
"Flux.install.recipe","2015-10-05 10:53:31","OK",""
"Flux.pkg.recipe","2015-10-05 10:53:32","OK",""
"Acorn.download.recipe","2015-10-05 10:53:33","OK",""
"Acorn.install.recipe","2015-10-05 10:53:40","OK",""
"Acorn.munki.recipe","2015-10-05 10:53:51","OK",""
"Acorn.pkg.recipe","2015-10-05 10:53:52","OK",""
"Focus.download.recipe","2015-10-05 10:53:59","OK",""
"Focus.install.recipe","2015-10-05 10:54:15","OK",""
"Focus.munki.recipe","2015-10-05 10:54:33","OK",""
"Focus.pkg.recipe","2015-10-05 10:54:39","OK",""
"Folio.download.recipe","2015-10-05 10:54:43","OK",""
"Folio.install.recipe","2015-10-05 10:54:55","OK",""
"Folio.munki.recipe","2015-10-05 10:55:07","OK",""
"Folio.pkg.recipe","2015-10-05 10:55:12","OK",""
"FontFinagler.download.recipe","2015-10-05 10:55:12","OK",""
"FontFinagler.install.recipe","2015-10-05 10:55:18","OK",""
"FontFinagler.munki.recipe","2015-10-05 10:55:29","OK",""
"FontFinagler.pkg.recipe","2015-10-05 10:55:29","OK",""
"GasMask.download.recipe","2015-10-05 10:55:31","OK",""
"GasMask.install.recipe","2015-10-05 10:55:38","OK",""
"GasMask.munki.recipe","2015-10-05 10:55:47","OK",""
"GasMask.pkg.recipe","2015-10-05 10:55:48","OK",""
"GitHubDesktop.download.recipe","2015-10-05 10:55:51","OK",""
"GitHubDesktop.install.recipe","2015-10-05 10:56:02","OK",""
"GitHubDesktop.munki.recipe","2015-10-05 10:56:18","OK",""
"GitHubDesktop.pkg.recipe","2015-10-05 10:56:20","OK",""
"GoToMeeting.download.recipe","2015-10-05 10:56:24","OK",""
"GoToMeeting.install.recipe","2015-10-05 10:56:38","OK",""
"GoToMeeting.munki.recipe","2015-10-05 10:56:53","OK",""
"GoToMeeting.pkg.recipe","2015-10-05 10:56:56","OK",""
"GrandPerspective.download.recipe","2015-10-05 10:56:58","OK",""
"GrandPerspective.install.recipe","2015-10-05 10:56:59","OK",""
"GrandPerspective.munki.recipe","2015-10-05 10:57:04","OK",""
"GrandPerspective.pkg.recipe","2015-10-05 10:57:08","OK",""
"Helium.download.recipe","2015-10-05 10:57:10","OK",""
"Helium.install.recipe","2015-10-05 10:57:17","OK",""
"Helium.munki.recipe","2015-10-05 10:57:28","OK",""
"Helium.pkg.recipe","2015-10-05 10:57:30","OK",""
"HocusFocus.download.recipe","2015-10-05 10:57:32","OK",""
"HocusFocus.install.recipe","2015-10-05 10:57:42","OK",""
"HocusFocus.munki.recipe","2015-10-05 10:57:53","OK",""
"HocusFocus.pkg.recipe","2015-10-05 10:57:55","OK",""
"HoudahGeo.download.recipe","2015-10-05 10:57:57","OK",""
"HoudahGeo.install.recipe","2015-10-05 10:58:06","OK",""
"HoudahGeo.munki.recipe","2015-10-05 10:58:20","OK",""
"HoudahGeo.pkg.recipe","2015-10-05 10:58:22","OK",""
"HoudahSpot.download.recipe","2015-10-05 10:58:23","OK",""
"HoudahSpot.install.recipe","2015-10-05 10:58:31","OK",""
"HoudahSpot.munki.recipe","2015-10-05 10:58:42","OK",""
"HoudahSpot.pkg.recipe","2015-10-05 10:58:43","OK",""
"Tembo.download.recipe","2015-10-05 10:58:45","OK",""
"Tembo.install.recipe","2015-10-05 10:58:52","OK",""
"Tembo.munki.recipe","2015-10-05 10:59:03","OK",""
"Tembo.pkg.recipe","2015-10-05 10:59:04","OK",""
"Twitterrific.download.recipe","2015-10-05 10:59:06","OK",""
"Twitterrific.install.recipe","2015-10-05 10:59:12","OK",""
"Twitterrific.munki.recipe","2015-10-05 10:59:22","OK",""
"Twitterrific.pkg.recipe","2015-10-05 10:59:23","OK",""
"xScope.download.recipe","2015-10-05 10:59:37","OK",""
"xScope.install.recipe","2015-10-05 11:00:02","OK",""
"xScope.munki.recipe","2015-10-05 11:00:27","OK",""
"xScope.pkg.recipe","2015-10-05 11:00:43","OK",""
"IconGrabber.download.recipe","2015-10-05 11:00:45","OK",""
"IconGrabber.install.recipe","2015-10-05 11:00:46","OK",""
"IconGrabber.munki.recipe","2015-10-05 11:00:51","OK",""
"IconGrabber.pkg.recipe","2015-10-05 11:00:55","OK",""
"iMazing.download.recipe","2015-10-05 11:01:01","OK",""
"iMazing.install.recipe","2015-10-05 11:01:07","OK",""
"iMazing.munki.recipe","2015-10-05 11:01:16","OK",""
"iMazing.pkg.recipe","2015-10-05 11:01:27","OK",""
"Infinit.download.recipe","2015-10-05 11:01:29","OK",""
"Infinit.install.recipe","2015-10-05 11:01:32","OK",""
"Infinit.munki.recipe","2015-10-05 11:01:41","OK",""
"Infinit.pkg.recipe","2015-10-05 11:01:46","OK",""
"Inkscape.install.recipe","2015-10-05 11:01:47","OK",""
"Inkscape.munki.recipe","2015-10-05 11:01:51","OK",""
"Inkscape.pkg.recipe","2015-10-05 11:01:58","OK",""
"Inky.download.recipe","2015-10-05 11:02:07","OK",""
"Inky.install.recipe","2015-10-05 11:02:16","OK",""
"Inky.munki.recipe","2015-10-05 11:02:29","OK",""
"Inky.pkg.recipe","2015-10-05 11:02:46","OK",""
"iNotepad.download.recipe","2015-10-05 11:02:47","OK",""
"iNotepad.install.recipe","2015-10-05 11:02:53","OK",""
"iNotepad.munki.recipe","2015-10-05 11:03:02","OK",""
"iNotepad.pkg.recipe","2015-10-05 11:03:03","OK",""
"CodeCookbookforSwift.download.recipe","2015-10-05 11:03:05","OK",""
"CodeCookbookforSwift.install.recipe","2015-10-05 11:03:16","OK",""
"CodeCookbookforSwift.munki.recipe","2015-10-05 11:03:27","OK",""
"CodeCookbookforSwift.pkg.recipe","2015-10-05 11:03:30","OK",""
"iSwift.download.recipe","2015-10-05 11:03:33","OK",""
"iSwift.install.recipe","2015-10-05 11:03:45","OK",""
"iSwift.munki.recipe","2015-10-05 11:03:59","OK",""
"iSwift.pkg.recipe","2015-10-05 11:04:03","OK",""
"iClip.download.recipe","2015-10-05 11:04:07","OK",""
"iClip.install.recipe","2015-10-05 11:04:16","OK",""
"iClip.munki.recipe","2015-10-05 11:04:30","OK",""
"iClip.pkg.recipe","2015-10-05 11:04:34","OK",""
"SwitchUp.download.recipe","2015-10-05 11:04:34","OK",""
"SwitchUp.install.recipe","2015-10-05 11:04:41","OK",""
"SwitchUp.munki.recipe","2015-10-05 11:04:52","OK",""
"SwitchUp.pkg.recipe","2015-10-05 11:04:53","OK",""
"Tickets.download.recipe","2015-10-05 11:04:53","OK",""
"Tickets.install.recipe","2015-10-05 11:04:59","OK",""
"Tickets.munki.recipe","2015-10-05 11:05:10","OK",""
"Tickets.pkg.recipe","2015-10-05 11:05:11","OK",""
"Tuck.download.recipe","2015-10-05 11:05:12","ERROR: Code signature verification failed. Note that all verifications can be disabled by setting the variable DISABLE_CODE_SIGNATURE_VERIFICATION to a non-empty value.
Failed.
",""
